"","Group.1","Group.2","Group.3","weight_count"
"611",2888,"Drive Me Crazy (1999)","Comedy",2.78151260504202
"419",2354,"Rugrats Movie, The (1998)","Comedy",2.78014184397163
"373",2241,"Class (1983)","Comedy",2.77519379844961
"439",2387,"Very Bad Things (1998)","Comedy",2.7741935483871
"1310",1021,"Angels in the Outfield (1994)","Comedy",2.76923076923077
"621",122,"Boomerang (1992)","Comedy",2.7680412371134
"754",3324,"Drowning Mona (2000)","Comedy",2.76315789473684
"2431",186,"Nine Months (1995)","Comedy",2.76303317535545
"693",3146,"Deuce Bigalow: Male Gigolo (1999)","Comedy",2.76298701298701
"706",3208,"Loaded Weapon 1 (1993)","Comedy",2.76136363636364
"932",3841,"Air America (1990)","Comedy",2.75490196078431
"577",2793,"American Werewolf in Paris, An (1997)","Comedy",2.75471698113208
"630",2953,"Home Alone 2: Lost in New York (1992)","Comedy",2.75190615835777
"524",2629,"Love Letter, The (1999)","Comedy",2.75
"943",387,"Low Down Dirty Shame, A (1994)","Comedy",2.74509803921569
"500",2558,"Forces of Nature (1999)","Comedy",2.74468085106383
"477",2491,"Simply Irresistible (1999)","Comedy",2.73913043478261
"171",157,"Canadian Bacon (1994)","Comedy",2.73262032085561
"7411",330,"Tales from the Hood (1995)","Comedy",2.73154362416107
"971",4,"Waiting to Exhale (1995)","Comedy",2.72941176470588
"528",267,"Major Payne (1994)","Comedy",2.72857142857143
"712",1011,"Herbie Rides Again (1974)","Comedy",2.72592592592593
"519",2606,"Idle Hands (1999)","Comedy",2.72463768115942
"769",3387,"Who's Harry Crumb? (1989)","Comedy",2.72254335260116
"770",3388,"Harry and the Hendersons (1987)","Comedy",2.71812080536913
"386",2259,"Blame It on Rio (1984)","Comedy",2.71641791044776
"809",3500,"Mr. Saturday Night (1992)","Comedy",2.71186440677966
"885",3693,"Toxic Avenger, The (1985)","Comedy",2.6978021978022
"562",276,"Milk Money (1994)","Comedy",2.69298245614035
"709",3225,"Down to You (2000)","Comedy",2.68852459016393
"1941",1665,"Bean (1997)","Comedy",2.685
"354",2169,"Dead Man on Campus (1998)","Comedy",2.67692307692308
"1027",542,"Son in Law (1993)","Comedy",2.6747572815534
"775",3394,"Blind Date (1987)","Comedy",2.67142857142857
"305",2041,"Condorman (1981)","Comedy",2.66896551724138
"504",2574,"Out-of-Towners, The (1999)","Comedy",2.66834170854271
"294",2016,"Apple Dumpling Gang Rides Again, The (1979)","Comedy",2.6605504587156
"501",256,"Junior (1994)","Comedy",2.65137614678899
"957",3901,"Duets (2000)","Comedy",2.65094339622642
"927",3821,"Nutty Professor II: The Klumps (2000)","Comedy",2.64112903225806
"586",2806,"Teaching Mrs. Tingle (1999)","Comedy",2.63316582914573
"306",2042,"D2: The Mighty Ducks (1994)","Comedy",2.63212435233161
"1100",765,"Jack (1996)","Comedy",2.63157894736842
"986",438,"Cowboy Way, The (1994)","Comedy",2.625
"353",2163,"Attack of the Killer Tomatoes! (1980)","Comedy",2.60679611650485
"700",3177,"Next Friday (1999)","Comedy",2.60119047619048
"483",2500,"Jawbreaker (1999)","Comedy",2.59663865546218
"313",2053,"Honey, I Blew Up the Kid (1992)","Comedy",2.59580052493438
"438",2385,"Home Fries (1998)","Comedy",2.57534246575342
"1371",1461,"Vegas Vacation (1997)","Comedy",2.57407407407407
"1093",743,"Spy Hard (1996)","Comedy",2.57009345794393
"1391",1468,"Booty Call (1997)","Comedy",2.5625
"1113",818,"Very Brady Sequel, A (1996)","Comedy",2.56084656084656
"3111",2051,"Herbie Goes to Monte Carlo (1977)","Comedy",2.55445544554455
"768",3385,"Volunteers (1985)","Comedy",2.5531914893617
"1991",1702,"Flubber (1997)","Comedy",2.55298013245033
"355",2170,"Wrongfully Accused (1998)","Comedy",2.55284552845528
"1201",1431,"Beverly Hills Ninja (1997)","Comedy",2.54741379310345
"1059",637,"Sgt. Bilko (1996)","Comedy",2.54285714285714
"722",3248,"Sister Act 2: Back in the Habit (1993)","Comedy",2.53960396039604
"3101",2050,"Herbie Goes Bananas (1980)","Comedy",2.53846153846154
"975",413,"Airheads (1994)","Comedy",2.53061224489796
"448",2408,"Cocoon: The Return (1988)","Comedy",2.52895752895753
"662",305,"Ready to Wear (Pret-A-Porter) (1994)","Comedy",2.50393700787402
"719",3243,"Encino Man (1992)","Comedy",2.50170648464164
"853",360,"I Love Trouble (1994)","Comedy",2.49606299212598
"906",3754,"Adventures of Rocky and Bullwinkle, The (2000)","Comedy",2.49514563106796
"546",2720,"Inspector Gadget (1999)","Comedy",2.4911528150134
"177",1592,"Air Bud (1997)","Comedy",2.49107142857143
"977",415,"Another Stakeout (1993)","Comedy",2.4804469273743
"641",3004,"Bachelor, The (1999)","Comedy",2.48015873015873
"1026",1359,"Jingle All the Way (1996)","Comedy",2.47747747747748
"462",2458,"Armed and Dangerous (1986)","Comedy",2.47692307692308
"862",3616,"Loser (2000)","Comedy",2.45652173913043
"1020",518,"Road to Wellville, The (1994)","Comedy",2.45637583892617
"295",2027,"Mafia! (1998)","Comedy",2.44961240310078
"616",2907,"Superstar (1999)","Comedy",2.44600938967136
"873",3646,"Big Momma's House (2000)","Comedy",2.44444444444444
"682",312,"Stuart Saves His Family (1995)","Comedy",2.4375
"1311",1453,"Beautician and the Beast, The (1997)","Comedy",2.43243243243243
"2151",1772,"Blues Brothers 2000 (1998)","Comedy",2.4304347826087
"506",258,"Kid in King Arthur's Court, A (1995)","Comedy",2.42361111111111
"469",2473,"Soul Man (1986)","Comedy",2.40932642487047
"240",1855,"Krippendorf's Tribe (1998)","Comedy",2.39814814814815
"432",2379,"Police Academy 2: Their First Assignment (1985)","Comedy",2.38666666666667
"397",2296,"Night at the Roxbury, A (1998)","Comedy",2.38194444444444
"9811",429,"Cabin Boy (1994)","Comedy",2.37967914438503
"315",1005,"D3: The Mighty Ducks (1996)","Comedy",2.37323943661972
"687",3130,"Bonfire of the Vanities (1990)","Comedy",2.3728813559322
"381",1126,"Drop Dead Fred (1991)","Comedy",2.37223974763407
"583",12,"Dracula: Dead and Loving It (1995)","Comedy",2.3625
"835",355,"Flintstones, The (1994)","Comedy",2.35205992509363
"1411",1474,"Jungle2Jungle (a.k.a. Jungle 2 Jungle) (1997)","Comedy",2.33561643835616
"480",2498,"My Favorite Martian (1999)","Comedy",2.33333333333333
"755",3325,"Next Best Thing, The (2000)","Comedy",2.33125
"1481",1503,"8 Heads in a Duffel Bag (1997)","Comedy",2.31724137931035
"740",3299,"Hanging Up (2000)","Comedy",2.29545454545455
"1114",829,"Joe's Apartment (1996)","Comedy",2.29007633587786
"1076",688,"Operation Dumbo Drop (1995)","Comedy",2.27699530516432
"8911",3710,"Action Jackson (1988)","Comedy",2.25405405405405
"346",2149,"House II: The Second Story (1987)","Comedy",2.25242718446602
"442",2392,"Jack Frost (1998)","Comedy",2.23414634146341
"1003",473,"In the Army Now (1994)","Comedy",2.22516556291391
"413",234,"Exit to Eden (1994)","Comedy",2.22448979591837
"245",1863,"Major League: Back to the Minors (1998)","Comedy",2.21830985915493
"738",3286,"Snow Day (2000)","Comedy",2.21311475409836
"979",419,"Beverly Hillbillies, The (1993)","Comedy",2.19230769230769
"1099",762,"Striptease (1996)","Comedy",2.18456375838926
"1281",1445,"McHale's Navy (1997)","Comedy",2.17307692307692
"900",374,"Richie Rich (1994)","Comedy",2.11475409836066
"589",2828,"Dudley Do-Right (1999)","Comedy",2.10743801652893
"1066",65,"Bio-Dome (1996)","Comedy",2.06293706293706
"881",3689,"Porky's II: The Next Day (1983)","Comedy",2.04255319148936
"882",3690,"Porky's Revenge (1985)","Comedy",2.04098360655738
"433",2380,"Police Academy 3: Back in Training (1986)","Comedy",2.03061224489796
"1082",1381,"Grease 2 (1982)","Comedy",1.96369636963696
"773",3392,"She-Devil (1989)","Comedy",1.93630573248408
"582",2798,"Problem Child (1990)","Comedy",1.925
"434",2381,"Police Academy 4: Citizens on Patrol (1987)","Comedy",1.91379310344828
"201",1707,"Home Alone 3 (1997)","Comedy",1.87662337662338
"2131",1760,"Spice World (1997)","Comedy",1.87368421052632
"840",3564,"Flintstones in Viva Rock Vegas, The (2000)","Comedy",1.8046875
"732",3268,"Stop! Or My Mom Will Shoot (1992)","Comedy",1.78212290502793
"435",2382,"Police Academy 5: Assignment: Miami Beach (1988)","Comedy",1.76666666666667
"498",2555,"Baby Geniuses (1999)","Comedy",1.70121951219512
"436",2383,"Police Academy 6: City Under Siege (1989)","Comedy",1.65771812080537
"11101",810,"Kazaam (1996)","Comedy",1.46666666666667
"249",919,"Wizard of Oz, The (1939)","Children's",4.88515715948778
"170",3114,"Toy Story 2 (1999)","Children's",4.8517665615142
"112",1,"Toy Story (1995)","Children's",4.76887337506018
"160",2761,"Iron Giant, The (1999)","Children's",4.65459940652819
"301",1097,"E.T. the Extra-Terrestrial (1982)","Children's",4.55996033494932
"331",1282,"Fantasia (1940)","Children's",4.49024390243902
"214",1028,"Mary Poppins (1964)","Children's",4.47828882294758
"182",34,"Babe (1995)","Children's",4.47521416333524
"225",595,"Beauty and the Beast (1991)","Children's",4.46872641509434
"199",3751,"Chicken Run (2000)","Children's",4.46155003762227
"291",1073,"Willy Wonka and the Chocolate Factory (1971)","Children's",4.44059405940594
"194",364,"Lion King, The (1994)","Children's",4.43996431757359
"178",3396,"Muppet Movie, The (1979)","Children's",4.43461021505376
"140",2355,"Bug's Life, A (1998)","Children's",4.43253082795067
"131",2139,"Secret of NIMH, The (1982)","Children's",4.42859078590786
"224",594,"Snow White and the Seven Dwarfs (1937)","Children's",4.4221494102228
"130",2138,"Watership Down (1978)","Children's",4.41901639344262
"129",2137,"Charlotte's Web (1973)","Children's",4.39637826961771
"106",2078,"Jungle Book, The (1967)","Children's",4.38870481927711
"173",3159,"Fantasia 2000 (1999)","Children's",4.3766004415011
"108",2080,"Lady and the Tramp (1955)","Children's",4.37505787037037
"223",588,"Aladdin (1992)","Children's",4.35655070318283
"213",531,"Secret Garden, The (1993)","Children's",4.33461538461538
"109",2081,"Little Mermaid, The (1989)","Children's",4.32
"161",1022,"Cinderella (1950)","Children's",4.31897746967071
"226",596,"Pinocchio (1940)","Children's",4.31365461847389
"168",3034,"Robin Hood (1973)","Children's",4.30495626822157
"701",1907,"Mulan (1998)","Children's",4.30428571428571
"801",2018,"Bambi (1942)","Children's",4.29932088285229
"179",3397,"Great Muppet Caper, The (1981)","Children's",4.29804469273743
"216",551,"Nightmare Before Christmas, The (1993)","Children's",4.27555220883534
"121",2096,"Sleeping Beauty (1959)","Children's",4.26692759295499
"710",1012,"Old Yeller (1957)","Children's",4.25996677740864
"141",1019,"20,000 Leagues Under the Sea (1954)","Children's",4.258
"251",1032,"Alice in Wonderland (1951)","Children's",4.25171428571428
"22",1029,"Dumbo (1941)","Children's",4.24163732394366
"157",2687,"Tarzan (1999)","Children's",4.21493212669683
"114",2087,"Peter Pan (1953)","Children's",4.20892255892256
"132",2140,"Dark Crystal, The (1982)","Children's",4.19992957746479
"73",1967,"Labyrinth (1986)","Children's",4.18276173285199
"19",1025,"Sword in the Stone, The (1963)","Children's",4.15255972696246
"136",2161,"NeverEnding Story, The (1984)","Children's",4.14592274678112
"113",2085,"101 Dalmatians (1961)","Children's",4.13592920353982
"12",1017,"Swiss Family Robinson (1960)","Children's",4.125
"180",3398,"Muppets Take Manhattan, The (1984)","Children's",4.03005865102639
"55",1688,"Anastasia (1997)","Children's",4.02878289473684
"751",2005,"Goonies, The (1985)","Children's",4.02178770949721
"138",2294,"Antz (1998)","Children's",4.00627906976744
"242",1031,"Bedknobs and Broomsticks (1971)","Children's",4.00156739811912
"17",1023,"Winnie the Pooh and the Blustery Day (1968)","Children's",3.98642533936652
"941",2046,"Flight of the Navigator (1986)","Children's",3.98638059701493
"231",661,"James and the Giant Peach (1996)","Children's",3.98447619047619
"77",2015,"Absent Minded Professor, The (1961)","Children's",3.97052631578947
"261",1033,"Fox and the Hound, The (1981)","Children's",3.96689895470383
"133",2141,"American Tail, An (1986)","Children's",3.9424504950495
"156",262,"Little Princess, A (1995)","Children's",3.87209302325581
"229",616,"Aristocats, The (1970)","Children's",3.85539568345324
"127",2116,"Lord of the Rings, The (1978)","Children's",3.83333333333333
"142",2384,"Babe: Pig in the City (1998)","Children's",3.78422562141491
"471",1566,"Hercules (1997)","Children's",3.77121535181237
"237",783,"Hunchback of Notre Dame, The (1996)","Children's",3.70653846153846
"192",3615,"Dinosaur (2000)","Children's",3.7
"227",60,"Indian in the Cupboard, The (1995)","Children's",3.69481792717087
"741",2,"Jumanji (1995)","Children's",3.68131241084165
"174",317,"Santa Clause, The (1994)","Children's",3.67067082683307
"46",1009,"Escape to Witch Mountain (1975)","Children's",3.66340206185567
"172",3157,"Stuart Little (1999)","Children's",3.6225
"111",2083,"Muppet Christmas Carol, The (1992)","Children's",3.60687022900763
"222",586,"Home Alone (1990)","Children's",3.60503703703704
"250",986,"Fly Away Home (1996)","Children's",3.60344827586207
"124",2099,"Song of the South (1946)","Children's",3.60180995475113
"84",1013,"Parent Trap, The (1961)","Children's",3.56589147286822
"175",3213,"Batman: Mask of the Phantasm (1993)","Children's",3.56034482758621
"166",2899,"Gulliver's Travels (1939)","Children's",3.54700854700855
"511",1588,"George of the Jungle (1997)","Children's",3.54550173010381
"234",1030,"Pete's Dragon (1977)","Children's",3.5390092879257
"361",1367,"101 Dalmatians (1996)","Children's",3.50370879120879
"961",2048,"Great Mouse Detective, The (1986)","Children's",3.49618320610687
"105",2077,"Journey of Natty Gann, The (1985)","Children's",3.49350649350649
"122",2097,"Something Wicked This Way Comes (1983)","Children's",3.48826291079812
"243",837,"Matilda (1996)","Children's",3.47706422018349
"116",2090,"Rescuers, The (1977)","Children's",3.47389558232932
"210",48,"Pocahontas (1995)","Children's",3.4229057591623
"910",1014,"Pollyanna (1960)","Children's",3.40441176470588
"125",2102,"Steamboat Willie (1940)","Children's",3.38578680203046
"311",1205,"Transformers: The Movie, The (1986)","Children's",3.38095238095238
"1011",2054,"Honey, I Shrunk the Kids (1989)","Children's",3.37296650717703
"163",2846,"Adventures of Milo and Otis, The (1986)","Children's",3.36746987951807
"193",362,"Jungle Book, The (1994)","Children's",3.36401673640167
"107",1015,"Homeward Bound: The Incredible Journey (1993)","Children's",3.34615384615385
"110",2082,"Mighty Ducks, The (1992)","Children's",3.31939058171745
"1041",2059,"Parent Trap, The (1998)","Children's",3.28358208955224
"119",2093,"Return to Oz (1985)","Children's",3.27916666666667
"921",2043,"Darby O'Gill and the Little People (1959)","Children's",3.27215189873418
"53",1010,"Love Bug, The (1969)","Children's",3.26859504132231
"135",1018,"That Darn Cat! (1965)","Children's",3.2520325203252
"181",1024,"Three Caballeros, The (1945)","Children's",3.24603174603175
"721",1920,"Small Soldiers (1998)","Children's",3.23200549450549
"1110",1016,"Shaggy Dog, The (1959)","Children's",3.21794871794872
"115",2089,"Rescuers Down Under, The (1990)","Children's",3.19665271966527
"76",2014,"Freaky Friday (1977)","Children's",3.17777777777778
"158",2709,"Muppets From Space (1999)","Children's",3.17672413793103
"711",1919,"Madeline (1998)","Children's",3.17241379310345
"831",2033,"Black Cauldron, The (1985)","Children's",3.165
"281",107,"Muppet Treasure Island (1996)","Children's",3.1484375
"148",2430,"Mighty Joe Young (1949)","Children's",3.11111111111111
"239",801,"Harriet the Spy (1996)","Children's",3.09917355371901
"185",3438,"Teenage Mutant Ninja Turtles (1990)","Children's",3.07958801498127
"681",1848,"Borrowers, The (1997)","Children's",3.04519774011299
"59",1713,"Mouse Hunt (1997)","Children's",3.04329004329004
"233",709,"Oliver & Company (1988)","Children's",3.04166666666667
"232",673,"Space Jam (1996)","Children's",3.01287744227353
"188",3483,"Road to El Dorado, The (2000)","Children's",3.01190476190476
"791",2017,"Babes in Toyland (1961)","Children's",2.98765432098765
"481",158,"Casper (1995)","Children's",2.98069498069498
"310",1007,"Apple Dumpling Gang, The (1975)","Children's",2.97844827586207
"209",455,"Free Willy (1993)","Children's",2.97789473684211
"120",2095,"Shaggy D.A., The (1976)","Children's",2.97345132743363
"195",3672,"Benji (1974)","Children's",2.96794871794872
"891",2040,"Computer Wore Tennis Shoes, The (1970)","Children's",2.9453125
"571",1702,"Flubber (1997)","Children's",2.93592715231788
"87",2038,"Cat from Outer Space, The (1978)","Children's",2.9040404040404
"271",1064,"Aladdin and the King of Thieves (1996)","Children's",2.89473684210526
"62",1806,"Paulie (1998)","Children's",2.89285714285714
"143",239,"Goofy Movie, A (1995)","Children's",2.875
"128",2123,"All Dogs Go to Heaven (1989)","Children's",2.86976744186047
"991",2052,"Hocus Pocus (1993)","Children's",2.86885245901639
"117",2091,"Return from Witch Mountain (1978)","Children's",2.8494623655914
"134",2142,"American Tail: Fievel Goes West, An (1991)","Children's",2.83084577114428
"147",2429,"Mighty Joe Young (1998)","Children's",2.82777777777778
"220",575,"Little Rascals, The (1994)","Children's",2.82242990654206
"139",2354,"Rugrats Movie, The (1998)","Children's",2.78014184397163
"152",1021,"Angels in the Outfield (1994)","Children's",2.76923076923077
"167",2953,"Home Alone 2: Lost in New York (1992)","Children's",2.75190615835777
"176",3287,"Tigger Movie, The (2000)","Children's",2.72868217054264
"69",1011,"Herbie Rides Again (1974)","Children's",2.72592592592593
"217",558,"Pagemaster, The (1994)","Children's",2.7037037037037
"901",2041,"Condorman (1981)","Children's",2.66896551724138
"144",2399,"Santa Claus: The Movie (1985)","Children's",2.66816143497758
"781",2016,"Apple Dumpling Gang Rides Again, The (1979)","Children's",2.6605504587156
"911",2042,"D2: The Mighty Ducks (1994)","Children's",2.63212435233161
"1001",2053,"Honey, I Blew Up the Kid (1992)","Children's",2.59580052493438
"981",2051,"Herbie Goes to Monte Carlo (1977)","Children's",2.55445544554455
"97",2050,"Herbie Goes Bananas (1980)","Children's",2.53846153846154
"200",3754,"Adventures of Rocky and Bullwinkle, The (2000)","Children's",2.49514563106796
"159",2720,"Inspector Gadget (1999)","Children's",2.4911528150134
"52",1592,"Air Bud (1997)","Children's",2.49107142857143
"351",1359,"Jingle All the Way (1996)","Children's",2.47747747747748
"118",2092,"Return of Jafar, The (1993)","Children's",2.43558282208589
"155",258,"Kid in King Arthur's Court, A (1995)","Children's",2.42361111111111
"151",2450,"Howard the Duck (1986)","Children's",2.4139400921659
"137",2162,"NeverEnding Story II: The Next Chapter, The (1990)","Children's",2.41242937853107
"211",1005,"D3: The Mighty Ducks (1996)","Children's",2.37323943661972
"189",355,"Flintstones, The (1994)","Children's",2.35205992509363
"401",1474,"Jungle2Jungle (a.k.a. Jungle 2 Jungle) (1997)","Children's",2.33561643835616
"215",546,"Super Mario Bros. (1993)","Children's",2.15542857142857
"186",3439,"Teenage Mutant Ninja Turtles II: The Secret of the Ooze (1991)","Children's",2.12749003984064
"198",374,"Richie Rich (1994)","Children's",2.11475409836066
"162",2828,"Dudley Do-Right (1999)","Children's",2.10743801652893
"561",169,"Free Willy 2: The Adventure Home (1995)","Children's",2.01769911504425
"169",3054,"Pokémon: The First Movie (1998)","Children's",1.97794117647059
"212",502,"Next Karate Kid, The (1994)","Children's",1.93548387096774
"187",3440,"Teenage Mutant Ninja Turtles III (1993)","Children's",1.92021276595745
"581",1707,"Home Alone 3 (1997)","Children's",1.87662337662338
"190",3564,"Flintstones in Viva Rock Vegas, The (2000)","Children's",1.8046875
"241",810,"Kazaam (1996)","Children's",1.46666666666667
"103",745,"Close Shave, A (1995)","Animation",5.1986301369863
"11",1148,"Wrong Trousers, The (1993)","Animation",5.18412698412698
"101",720,"Wallace & Gromit: The Best of Aardman Animation (1996)","Animation",5.09098173515982
"14",1223,"Grand Day Out, A (1992)","Animation",5.01575052854123
"68",3114,"Toy Story 2 (1999)","Animation",4.8517665615142
"1",1,"Toy Story (1995)","Animation",4.76887337506018
"58",2761,"Iron Giant, The (1999)","Animation",4.65459940652819
"15",1274,"Akira (1988)","Animation",4.52367256637168
"16",1282,"Fantasia (1940)","Animation",4.49024390243902
"93",595,"Beauty and the Beast (1991)","Animation",4.46872641509434
"82",3751,"Chicken Run (2000)","Animation",4.46155003762227
"79",364,"Lion King, The (1994)","Animation",4.43996431757359
"49",2355,"Bug's Life, A (1998)","Animation",4.43253082795067
"92",594,"Snow White and the Seven Dwarfs (1937)","Animation",4.4221494102228
"41",2137,"Charlotte's Web (1973)","Animation",4.39637826961771
"28",2078,"Jungle Book, The (1967)","Animation",4.38870481927711
"70",3159,"Fantasia 2000 (1999)","Animation",4.3766004415011
"29",2080,"Lady and the Tramp (1955)","Animation",4.37505787037037
"91",588,"Aladdin (1992)","Animation",4.35655070318283
"74",3429,"Creature Comforts (1990)","Animation",4.33576642335766
"57",2700,"South Park: Bigger, Longer and Uncut (1999)","Animation",4.32450748620961
"30",2081,"Little Mermaid, The (1989)","Animation",4.32
"2",1022,"Cinderella (1950)","Animation",4.31897746967071
"94",596,"Pinocchio (1940)","Animation",4.31365461847389
"23",1907,"Mulan (1998)","Animation",4.30428571428571
"25",2018,"Bambi (1942)","Animation",4.29932088285229
"36",2096,"Sleeping Beauty (1959)","Animation",4.26692759295499
"8",1032,"Alice in Wonderland (1951)","Animation",4.25171428571428
"6",1029,"Dumbo (1941)","Animation",4.24163732394366
"64",2987,"Who Framed Roger Rabbit? (1988)","Animation",4.23179544191217
"56",2687,"Tarzan (1999)","Animation",4.21493212669683
"32",2087,"Peter Pan (1953)","Animation",4.20892255892256
"65",3000,"Princess Mononoke, The (Mononoke Hime) (1997)","Animation",4.14782608695652
"31",2085,"101 Dalmatians (1961)","Animation",4.13592920353982
"51",2394,"Prince of Egypt, The (1998)","Animation",4.10742659758204
"102",741,"Ghost in the Shell (Kokaku kidotai) (1995)","Animation",4.08917197452229
"95",610,"Heavy Metal (1981)","Animation",4.0789644012945
"47",2294,"Antz (1998)","Animation",4.00627906976744
"3",1023,"Winnie the Pooh and the Blustery Day (1968)","Animation",3.98642533936652
"98",661,"James and the Giant Peach (1996)","Animation",3.98447619047619
"81",3745,"Titan A.E. (2000)","Animation",3.8885046728972
"43",2139,"Secret of NIMH, The (1982)","Animation",3.85094850948509
"42",2138,"Watership Down (1978)","Animation",3.84262295081967
"39",2116,"Lord of the Rings, The (1978)","Animation",3.83333333333333
"20",1566,"Hercules (1997)","Animation",3.77121535181237
"66",3034,"Robin Hood (1973)","Animation",3.74344023323615
"61",2857,"Yellow Submarine (1968)","Animation",3.69674185463659
"5",1025,"Sword in the Stone, The (1963)","Animation",3.61092150170648
"37",2099,"Song of the South (1946)","Animation",3.60180995475113
"71",3213,"Batman: Mask of the Phantasm (1993)","Animation",3.56034482758621
"63",2899,"Gulliver's Travels (1939)","Animation",3.54700854700855
"21",1688,"Anastasia (1997)","Animation",3.50328947368421
"27",2048,"Great Mouse Detective, The (1986)","Animation",3.49618320610687
"18",1405,"Beavis and Butt-head Do America (1996)","Animation",3.496
"34",2090,"Rescuers, The (1977)","Animation",3.47389558232932
"9",1033,"Fox and the Hound, The (1981)","Animation",3.44947735191638
"44",2141,"American Tail, An (1986)","Animation",3.42821782178218
"38",2102,"Steamboat Willie (1940)","Animation",3.38578680203046
"13",1205,"Transformers: The Movie, The (1986)","Animation",3.38095238095238
"96",616,"Aristocats, The (1970)","Animation",3.35251798561151
"4",1024,"Three Caballeros, The (1945)","Animation",3.24603174603175
"104",783,"Hunchback of Notre Dame, The (1996)","Animation",3.22307692307692
"78",3615,"Dinosaur (2000)","Animation",3.21739130434783
"33",2089,"Rescuers Down Under, The (1990)","Animation",3.19665271966527
"26",2033,"Black Cauldron, The (1985)","Animation",3.165
"7",1030,"Pete's Dragon (1977)","Animation",3.07739938080495
"80",3725,"American Pop (1981)","Animation",3.07142857142857
"100",709,"Oliver & Company (1988)","Animation",3.04166666666667
"99",673,"Space Jam (1996)","Animation",3.01287744227353
"75",3483,"Road to El Dorado, The (2000)","Animation",3.01190476190476
"89",48,"Pocahontas (1995)","Animation",2.97643979057592
"10",1064,"Aladdin and the King of Thieves (1996)","Animation",2.89473684210526
"50",239,"Goofy Movie, A (1995)","Animation",2.875
"40",2123,"All Dogs Go to Heaven (1989)","Animation",2.86976744186047
"45",2142,"American Tail: Fievel Goes West, An (1991)","Animation",2.83084577114428
"24",1920,"Small Soldiers (1998)","Animation",2.81043956043956
"48",2354,"Rugrats Movie, The (1998)","Animation",2.78014184397163
"72",3287,"Tigger Movie, The (2000)","Animation",2.72868217054264
"90",558,"Pagemaster, The (1994)","Animation",2.7037037037037
"83",3754,"Adventures of Rocky and Bullwinkle, The (2000)","Animation",2.49514563106796
"35",2092,"Return of Jafar, The (1993)","Animation",2.43558282208589
"67",3054,"Pokémon: The First Movie (1998)","Animation",1.97794117647059
"205",1198,"Raiders of the Lost Ark (1981)","Adventure",5.14938345266508
"1482",260,"Star Wars: Episode IV - A New Hope (1977)","Adventure",5.12174857907054
"2110",1204,"Lawrence of Arabia (1962)","Adventure",5.06221419975933
"298",1262,"Great Escape, The (1963)","Adventure",5.03290229885057
"1910",1197,"Princess Bride, The (1987)","Adventure",4.94926660914581
"1810",1196,"Star Wars: Episode V - The Empire Strikes Back (1980)","Adventure",4.93692307692308
"2791",969,"African Queen, The (1951)","Adventure",4.88940397350993
"2741",919,"Wizard of Oz, The (1939)","Adventure",4.88515715948778
"337",1291,"Indiana Jones and the Last Crusade (1989)","Adventure",4.75328624078624
"327",1287,"Ben-Hur (1959)","Adventure",4.72741477272727
"267",1259,"Stand by Me (1986)","Adventure",4.71145658263305
"2210",1210,"Star Wars: Episode VI - Return of the Jedi (1983)","Adventure",4.62632674297607
"165",2871,"Deliverance (1972)","Adventure",4.53216735253772
"2491",590,"Dances with Wolves (1990)","Adventure",4.50251550654721
"404",1374,"Star Trek: The Wrath of Khan (1982)","Adventure",4.46260359116022
"1211",1073,"Willy Wonka and the Chocolate Factory (1971)","Adventure",4.44059405940594
"1811",3104,"Midnight Run (1988)","Adventure",4.43464052287582
"3112",1275,"Highlander (1986)","Adventure",4.42307692307692
"2810",1261,"Evil Dead II (Dead By Dawn) (1987)","Adventure",4.40063868613139
"2310",1215,"Army of Darkness (1993)","Adventure",4.37486772486772
"1882",3175,"Galaxy Quest (1999)","Adventure",4.33712384259259
"1861",3168,"Easy Rider (1969)","Adventure",4.33680412371134
"2411",480,"Jurassic Park (1993)","Adventure",4.3284244011976
"573",1580,"Men in Black (1997)","Adventure",4.30094562647754
"2510",1254,"Treasure of the Sierra Madre, The (1948)","Adventure",4.28918322295806
"208",349,"Clear and Present Danger (1994)","Adventure",4.28508026440038
"2612",733,"Rock, The (1996)","Adventure",4.28160447761194
"357",1356,"Star Trek: First Contact (1996)","Adventure",4.26553435114504
"617",1019,"20,000 Leagues Under the Sea (1954)","Adventure",4.258
"1741",2968,"Time Bandits (1981)","Adventure",4.24816831683168
"1341",2406,"Romancing the Stone (1984)","Adventure",4.24260223048327
"1610",1127,"Abyss, The (1989)","Adventure",4.23655976676385
"1721",2916,"Total Recall (1990)","Adventure",4.23471943887776
"1762",2987,"Who Framed Roger Rabbit? (1988)","Adventure",4.23179544191217
"1112",2115,"Indiana Jones and the Temple of Doom (1984)","Adventure",4.22755102040816
"2061",3479,"Ladyhawke (1985)","Adventure",4.22444649446494
"4210",1376,"Star Trek IV: The Voyage Home (1986)","Adventure",4.2047513321492
"1261",2366,"King Kong (1933)","Adventure",4.20449735449735
"865",1967,"Labyrinth (1986)","Adventure",4.18276173285199
"2241",380,"True Lies (1994)","Adventure",4.17942857142857
"1771",3000,"Princess Mononoke, The (Mononoke Hime) (1997)","Adventure",4.14782608695652
"1171",2161,"NeverEnding Story, The (1984)","Adventure",4.14592274678112
"2501",592,"Batman (1989)","Adventure",4.1411250873515
"349",1303,"Man Who Would Be King, The (1975)","Adventure",4.12903225806452
